file_year,category,rank,name,year,high_school,city_state,position,totalpoints,pointspergame,totaltdnum,fgmade,patkickingmade,safeties,gamesplayed
2018,"offense,scoring",227,Gabe Young,Senior,"Shenandoah (Middletown, IN)","(Middletown, IN)","RB, CB",188,15.7,31,,,,12
2018,"offense,scoring",228,Blaze Nelson,Senior,Heber Springs (AR),(AR),"LB, RB",188,14.5,31,,,0,13
2018,"offense,scoring",229,Brandon Gregory,Senior,Venice (FL),(FL),"RB, WR",188,14.5,31,,,,13
2018,"offense,scoring",230,Conner Kestler,Junior,"Calhoun (Port Lavaca, TX)","(Port Lavaca, TX)","FS, QB",188,13.4,31,,,,14
2018,"offense,scoring",231,Marcus Crowley,Senior,"Trinity Christian Academy (Jacksonville, FL)","(Jacksonville, FL)",RB,188,13.4,31,,,,14
2018,"offense,scoring",232,Carter Bates,Senior,Edgewood (TX),(TX),"RB, CB",186,23.3,29,,,,8
2018,"offense,scoring",233,Tyler Wilridge,Senior,Tombstone (AZ),(AZ),"SS, RB",186,18.6,30,,,,10
2018,"offense,scoring",234,Dan Mason,Senior,Newtown (CT),(CT),"RB, LB",186,16.9,31,,,,11
2018,"offense,scoring",235,Ashton Stredick,Junior,Needville (TX),(TX),"RB, CB",186,16.9,31,,,,11
2018,"offense,scoring",236,Jordan Kent,Senior,Jackson (MO),(MO),,186,15.5,31,,,,12
2018,"offense,scoring",237,Jacorrius Standfield,Senior,Okolona (MS),(MS),"RB, DB",186,14.3,28,,,,13
2018,"offense,scoring",238,Kaden Douglas,Senior,Celeste (TX),(TX),"RB, MLB",186,14.3,31,,,,13
2018,"offense,scoring",239,Michel Dukes,Senior,"First Baptist School (Charleston, SC)","(Charleston, SC)",RB,186,14.3,31,,,,13
2018,"offense,scoring",240,Mac Dalena,Junior,"San Joaquin Memorial (Fresno, CA)","(Fresno, CA)","WR, DB",186,12.4,17,,84,,15
2018,"offense,scoring",241,Jaalen Rening,Junior,"Central Valley Christian (Visalia, CA)","(Visalia, CA)","RB, DB",186,12.4,31,,,,15
2018,"offense,scoring",242,Marion Lukes,Junior,Charlestown (IN),(IN),"RB, SB",184,18.4,30,,,,10
2018,"offense,scoring",243,Lamarr Wilkins,Senior,Princeton (NC),(NC),"TB, DB",184,18.4,30,,,,10
2018,"offense,scoring",244,Aidan Galvan,Junior,"Monache (Porterville, CA)","(Porterville, CA)","LB, RB",184,15.3,29,,,,12
2018,"offense,scoring",245,Josh Thomas,Senior,Estancia (NM),(NM),,182,16.5,27,,,,11
2018,"offense,scoring",246,James Ochoa,Junior,Arleta (CA),(CA),"TB, KR",182,15.2,30,,,,12
2018,"offense,scoring",247,Brady Feldmann,Senior,Highland (IL),(IL),RB,182,15.2,30,,,0,12
2018,"offense,scoring",248,Brett Simonsen,Senior,Sutton (NE),(NE),"RB, CB",182,15.2,27,,,,12
2018,"offense,scoring",249,Carson Steele,Sophomore,"Center Grove (Greenwood, IN)","(Greenwood, IN)",RB,182,14.0,30,,,,13
2018,"offense,scoring",250,Atario Hester,Senior,"Randolph County (Wedowee, AL)","(Wedowee, AL)","RB, WR",182,14.0,30,,,,13
2018,"offense,scoring",1,Charlie Spegal,Junior,New Palestine (IN),(IN),"RB, LB",422,30.1,70,,,,14
2018,"offense,scoring",2,Kade Scott,Senior,"Pawnee Heights (Rozel, KS)","(Rozel, KS)","FB, MLB",393,39.3,63,,11,,10
2018,"offense,scoring",3,Austin Brown,Senior,"Madison (Madison Heights, MI)","(Madison Heights, MI)",QB,382,27.3,61,,,,14
2018,"offense,scoring",4,Lee Witherspoon,Senior,"North Jackson (Stevenson, AL)","(Stevenson, AL)","HB, DB",354,29.5,59,,,,12
2018,"offense,scoring",5,Christian Hunter,Senior,"Kaiser (Fontana, CA)","(Fontana, CA)","RB, SB",348,21.8,58,,,,16
2018,"offense,scoring",6,Davon Booth,Junior,El Monte (CA),(CA),"RB, DB",332,27.7,44,,,,12
2018,"offense,scoring",7,Jacardia Wright,Senior,"St. Teresa (Decatur, IL)","(Decatur, IL)","RB, FS",330,25.4,55,,,,13
2018,"offense,scoring",8,Jack Kiser,Senior,"Pioneer (Royal Center, IN)","(Royal Center, IN)","SS, QB",312,20.8,46,,,,15
2018,"offense,scoring",9,Christian Cole,Senior,Oil City (PA),(PA),"RB, OLB",308,25.7,47,,2,,12
2018,"offense,scoring",10,Joseph Todd,Senior,"Santee (Los Angeles, CA)","(Los Angeles, CA)",ATH,308,20.5,51,,,,15
2018,"offense,scoring",11,Austin Newcomb,Junior,"Clarion-Limestone (Strattanville, PA)","(Strattanville, PA)","RB, SB",298,24.8,43,,,,12
2018,"offense,scoring",12,Peyton Dixon,Senior,"Bishop Manogue (Reno, NV)","(Reno, NV)","RB, FS",296,21.1,49,,,,14
2018,"offense,scoring",13,Darwin Barlow,Senior,Newton (TX),(TX),"RB, SS",296,19.7,46,,,0,15
2018,"offense,scoring",14,Keaton Mitchell,Junior,"Eagle's Landing Christian Academy (McDonough, GA)","(McDonough, GA)","RB, CB",294,21.0,49,,,,14
2018,"offense,scoring",15,Cameron Skattebo,Junior,Rio Linda (CA),(CA),"RB, LB",292,19.5,48,,,,15
2018,"offense,scoring",16,Jase McClellan,Junior,Aledo (TX),(TX),"RB, WR",288,20.6,48,,,,14
2018,"offense,scoring",17,Wandale Robinson,Senior,"Western Hills (Frankfort, KY)","(Frankfort, KY)","SB, FS",284,25.8,45,,,,11
2018,"offense,scoring",18,Abellany Mendez,Senior,Rutherford (NJ),(NJ),"RB, CB",282,23.5,45,,,,12
2018,"offense,scoring",19,Jason Williamson,Senior,Owatonna (MN),(MN),"RB, FS",282,21.7,47,,,,13
2018,"offense,scoring",20,Josh Mcconnell,Senior,"Summit Christian Academy (Lee's Summit, MO)","(Lee's Summit, MO)","RB, CB",280,21.5,36,2,56,0,13
2018,"offense,scoring",21,Mitjonta Stanley,Junior,"John A. Holmes (Edenton, NC)","(Edenton, NC)","RB, DB",274,19.6,45,,,,14
2018,"offense,scoring",22,Kyle Harrison,Senior,Liberty Hill (TX),(TX),"RB, SB",270,18.0,45,,,,15
2018,"offense,scoring",23,Kevin Daniels,Junior,Glendale (AZ),(AZ),"RB, WR",268,24.4,43,,,,11
2018,"offense,scoring",24,Daimarqua Foster,Senior,"Hirschi (Wichita Falls, TX)","(Wichita Falls, TX)","RB, OLB",268,20.6,44,,,,13
2018,"offense,scoring",25,Andrew Crow,Senior,"Rejoice Christian (Owasso, OK)","(Owasso, OK)","RB, CB",266,22.2,44,,,,12
2018,"offense,scoring",26,Travis Theis,Senior,Pratt (KS),(KS),"QB, ILB",264,20.3,44,,,,13
